original_City,lat,lon,formatted,district,suburb,name,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Sierra Vista,31.5545973,-110.2997756,"Sierra Vista, AZ, United States of America",,,,,Sierra Vista,Cochise County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vancouver,45.6306954,-122.6744557,"Vancouver, WA, United States of America",,,,,Vancouver,Clark County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cleveland,41.4996562,-81.6936813,"Cleveland, OH, United States of America",,,,,Cleveland,Cuyahoga County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tyler,32.3512601,-95.3010624,"Tyler, TX, United States of America",,,,,Tyler,Smith County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burlington,44.4761601,-73.212906,"Burlington, VT, United States of America",,,,,Burlington,Chittenden County,Vermont,VT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Waynesboro,38.0686668,-78.8893999,"Waynesboro, VA 22980, United States of America",,,,22980,Waynesboro,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chester,39.849557,-75.3557458,"Chester, PA 19013, United States of America",,,,19013,Chester,Delaware County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cary,35.7882893,-78.7812081,"Cary, NC, United States of America",,,,,Cary,Wake County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palm Coast,29.5541432,-81.2207673,"Palm Coast, FL, United States of America",,,,,Palm Coast,Flagler County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mount Vernon,38.3172715,-88.9031201,"Mount Vernon, IL 62864, United States of America",,,,62864,Mount Vernon,Jefferson County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hialeah,25.8575963,-80.2781057,"Hialeah, Hialeah, FL, United States of America",,Hialeah,,,Hialeah,Miami-Dade County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oceanside,33.1958696,-117.3794834,"Oceanside, CA, United States of America",,,,,Oceanside,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Evanston,42.0447388,-87.6930459,"Evanston, IL, United States of America",,,,,Evanston,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trenton,40.2205944,-74.7597219,"Trenton, NJ, United States of America",,,,,Trenton,Mercer County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cottage Grove,44.8277446,-92.9438218,"Cottage Grove, MN, United States of America",,,,,Cottage Grove,Washington County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bossier City,32.5369356,-93.6952689,"Bossier City, LA, United States of America",,,,,Bossier City,Bossier Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lancaster,40.03813,-76.3056686,"Lancaster, PA, United States of America",,,,,Lancaster,Lancaster County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Asheville,35.6009498,-82.5540161,"Asheville, NC, United States of America",,,,,Asheville,Buncombe County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lake Elsinore,33.6680772,-117.3272615,"Lake Elsinore, CA, United States of America",,,,,Lake Elsinore,Riverside County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Omaha,41.2587459,-95.9383758,"Omaha, NE, United States of America",,,,,Omaha,Douglas County,Nebraska,NE,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edmonds,47.8105738,-122.3774952,"Edmonds, WA, United States of America",,,,,Edmonds,Snohomish County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Santa Ana,33.7494951,-117.8732213,"Santa Ana, CA, United States of America",,,,,Santa Ana,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Milwaukee,43.0349931,-87.922497,"Milwaukee, WI, United States of America",,,,,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Florence,34.79981,-87.677251,"Florence, AL, United States of America",,,,,Florence,Lauderdale County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lorain,41.4673238,-82.1781904,"Lorain, OH, United States of America",,,,,Lorain,Lorain County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linden,33.0123537,-94.3654707,"Linden, TX 75563, United States of America",,,,75563,Linden,Cass County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salinas,36.6744117,-121.6550372,"Salinas, CA, United States of America",,,,,Salinas,Monterey County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New Brunswick,40.4862174,-74.4518173,"New Brunswick, NJ, United States of America",,,,,New Brunswick,Middlesex County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Garland,32.912624,-96.6388833,"Garland, TX, United States of America",,,,,Garland,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Norwich,41.5243537,-72.0759008,"Norwich, CT, United States of America",,,,,Norwich,New London County,Connecticut,CT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alexandria,38.8051095,-77.0470229,"Alexandria, VA, United States of America",,,,,Alexandria,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toledo,41.6529143,-83.5378173,"Toledo, OH, United States of America",,,,,Toledo,Lucas County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Farmington,44.6402434,-93.1435497,"Farmington, MN 55024, United States of America",,,,55024,Farmington,Dakota County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Riverside,33.9533546,-117.3961623,"Riverside, CA, United States of America",,,,,Riverside,Riverside County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Torrance,33.8358492,-118.3406288,"Torrance, CA, United States of America",,,,,Torrance,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Round Rock,30.5085915,-97.6788056,"Round Rock, TX, United States of America",,,,,Round Rock,Williamson County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Boca Raton,26.3586885,-80.0830984,"Boca Raton, FL, United States of America",,,,,Boca Raton,Palm Beach County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Virginia Beach,36.8529841,-75.9774183,"Virginia Beach, VA, United States of America",,,,,Virginia Beach,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Murrieta,33.577752399999994,-117.18845420205307,"Murrieta, CA, United States of America",,,,,Murrieta,Riverside County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Olympia,47.0451022,-122.8950075,"Olympia, WA, United States of America",,,,,Olympia,Thurston County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Washington,38.8950368,-77.0365427,"Washington, DC, United States of America",,,,,Washington,,District of Columbia,DC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jefferson City,38.577359,-92.1724265,"Jefferson City, MO, United States of America",,,,,Jefferson City,Cole County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint Peters,38.791612,-90.5958468,"Saint Peters, MO 63376, United States of America",,,,63376,Saint Peters,Saint Charles County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rockford,42.2713945,-89.093966,"Rockford, IL, United States of America",,,,,Rockford,Winnebago County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brownsville,25.9140256,-97.4890856,"Brownsville, TX, United States of America",,,,,Brownsville,Cameron County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Yonkers,40.9312099,-73.8987469,"Yonkers, NY, United States of America",,,,,Yonkers,Westchester County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oakland,37.8044557,-122.2713563,"Oakland, CA, United States of America",,,,,Oakland,Alameda County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clinton,41.8502821,-90.1877485,"Clinton, IA, United States of America",,,,,Clinton,Clinton County,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Encinitas,33.0369867,-117.2919818,"Encinitas, CA, United States of America",,,,,Encinitas,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Roswell,34.02332,-84.360022,"Roswell, GA, United States of America",,,,,Roswell,Fulton County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jonesboro,35.8272257,-90.6949871,"Jonesboro, AR, United States of America",,,,,Jonesboro,Craighead County,Arkansas,AR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Antioch,38.0049214,-121.805789,"Antioch, CA, United States of America",,,,,Antioch,Contra Costa County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Homestead,25.4718946,-80.4759905,"Homestead, FL, United States of America",,,,,Homestead,Miami-Dade County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Porte,29.6657838,-95.0193729,"La Porte, TX 77571, United States of America",,,,77571,La Porte,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lansing,42.7337712,-84.5553805,"Lansing, MI, United States of America",,,,,Lansing,Ingham County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cuyahoga Falls,41.1348213,-81.4848086,"Cuyahoga Falls, OH, United States of America",,,,,Cuyahoga Falls,Summit County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Reno,39.5261206,-119.8126581,"Reno, NV, United States of America",,,,,Reno,Washoe County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harrisonburg,38.4493315,-78.8688833,"Harrisonburg, VA, United States of America",,,,,Harrisonburg,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Escondido,33.1216751,-117.0814849,"Escondido, CA, United States of America",,,,,Escondido,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Royal Oak,42.4894801,-83.1446485,"Royal Oak, MI, United States of America",,,,,Royal Oak,Oakland County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rockville,39.0817985,-77.1516844,"Rockville, MD, United States of America",,,,,Rockville,Montgomery County,Maryland,MD,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coral Springs,26.271192,-80.2706044,"Coral Springs, Coral Springs, FL, United States of America",,Coral Springs,,,Coral Springs,Broward County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Buffalo,42.8867166,-78.8783922,"Buffalo, NY, United States of America",,,,,Buffalo,Erie County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Boynton Beach,26.5256179,-80.0666026,"Boynton Beach, FL, United States of America",,,,,Boynton Beach,Palm Beach County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gulfport,30.3674198,-89.0928155,"Gulfport, MS, United States of America",,,,,Gulfport,Harrison County,Mississippi,MS,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fresno,36.7394421,-119.7848307,"Fresno, CA, United States of America",,,,,Fresno,Fresno County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greenville,34.851354,-82.3984882,"Greenville, SC, United States of America",,,,,Greenville,Greenville County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Macon,32.8406946,-83.6324022,"Macon, GA, United States of America",,,,,Macon,Bibb County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cedar Rapids,41.9758872,-91.6704053,"Cedar Rapids, IA, United States of America",,,,,Cedar Rapids,Linn County,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Providence,41.8239891,-71.4128343,"Providence, RI, United States of America",,,,,Providence,Providence County,Rhode Island,RI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pueblo,38.2544472,-104.609141,"Pueblo, CO, United States of America",,,,,Pueblo,Pueblo County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deltona,28.9005446,-81.2636738,"Deltona, FL, United States of America",,,,,Deltona,Volusia County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Murray,36.6103334,-88.314761,"Murray, KY, United States of America",,,,,Murray,Calloway County,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Middletown,41.54961415,-72.65157756750801,"Middletown, CT, United States of America",,,,,Middletown,Middlesex County,Connecticut,CT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Freeport,42.2966861,-89.6212271,"Freeport, IL 61032, United States of America",,,,61032,Freeport,Stephenson County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pico Rivera,33.9830688,-118.096735,"Pico Rivera, CA 90660, United States of America",,,,90660,Pico Rivera,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Provo,40.2337289,-111.6587085,"Provo, UT, United States of America",,,,,Provo,Utah County,Utah,UT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pleasant Grove,33.4909405,-86.9702714,"Pleasant Grove, AL 35127, United States of America",,,,35127,Pleasant Grove,Jefferson County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Smyrna,39.2998339,-75.6046494,"Smyrna, DE, United States of America",,,,,Smyrna,Kent County,Delaware,DE,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parma,41.3822398,-81.7355692,"Parma, OH, United States of America",,,,,Parma,Cuyahoga County,Ohio,OH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mobile,30.6867339,-88.0848929,"Mobile, AL, United States of America",,,,,Mobile,Mobile County,Alabama,AL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
New Bedford,41.6362152,-70.934205,"New Bedford, MA, United States of America",,,,,New Bedford,Bristol County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irving,32.8295183,-96.9442177,"Irving, TX, United States of America",,,,,Irving,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vineland,39.4862777,-75.0254256,"Vineland, NJ, United States of America",,,,,Vineland,Cumberland County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glendale,34.1469416,-118.2478471,"Glendale, CA, United States of America",,,,,Glendale,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niagara Falls,43.08436,-79.0614686,"Niagara Falls, NY, United States of America",,,,,Niagara Falls,Niagara County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thomasville,35.8831786,-80.081817,"Thomasville, NC 27360, United States of America",,,,27360,Thomasville,Davidson County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Westminster,39.8366528,-105.0372046,"Westminster, CO, United States of America",,,,,Westminster,Adams County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coppell,32.9552598,-97.0155703,"Coppell, TX 75019, United States of America",,,,75019,Coppell,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pomona,34.0553813,-117.7517496,"Pomona, CA, United States of America",,,,,Pomona,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
North Las Vegas,36.2005843,-115.121584,"North Las Vegas, NV, United States of America",,,,,North Las Vegas,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allentown,40.6022059,-75.4712794,"Allentown, PA, United States of America",,,,,Allentown,Lehigh County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tempe,33.4255056,-111.9400091,"Tempe, AZ, United States of America",,,,,Tempe,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laguna Niguel,33.5225261,-117.7075526,"Laguna Niguel, CA, United States of America",,,,,Laguna Niguel,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bridgeton,38.7566055,-90.42352,"Bridgeton, MO 63044, United States of America",,,,63044,Bridgeton,Saint Louis County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Everett,47.9673056,-122.201399,"Everett, WA, United States of America",,,,,Everett,Snohomish County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Watertown,42.3709299,-71.1828321,"Watertown, MA, United States of America",,,,,Watertown,Middlesex County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Appleton,44.2613967,-88.4069744,"Appleton, WI, United States of America",,,,,Appleton,Outagamie County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bellevue,47.6144219,-122.192337,"Bellevue, WA, United States of America",,,,,Bellevue,King County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allen,33.1031744,-96.6705503,"Allen, TX, United States of America",,,,,Allen,Collin County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
El Paso,31.7865623,-106.441207,"El Paso, TX, United States of America",,,,,El Paso,El Paso County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grapevine,32.9337381,-97.0788754,"Grapevine, TX 76051, United States of America",,,,76051,Grapevine,Tarrant County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Carrollton,32.9537349,-96.8902816,"Carrollton, TX, United States of America",,,,,Carrollton,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kent,47.3826903,-122.2270272,"Kent, WA, United States of America",,,,,Kent,King County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lafayette,30.2043259,-92.0298813,"Lafayette, LA, United States of America",,,,,Lafayette,Lafayette Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tigard,45.4307473,-122.771933,"Tigard, OR, United States of America",,,,,Tigard,Washington County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Skokie,42.0333694,-87.7333972,"Skokie, IL, United States of America",,,,,Skokie,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plano,33.0136764,-96.6925096,"Plano, TX, United States of America",,,,,Plano,Collin County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Suffolk,36.7282096,-76.5835703,"Suffolk, VA, United States of America",,,,,Suffolk,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indianapolis,39.7683331,-86.1583502,"Indianapolis, IN, United States of America",,,,,Indianapolis,Marion County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayonne,40.6687141,-74.1143091,"Bayonne, NJ 07002, United States of America",,,,07002,Bayonne,Hudson County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greensboro,36.0726355,-79.7919754,"Greensboro, NC, United States of America",,,,,Greensboro,Guilford County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baltimore,39.2908816,-76.610759,"Baltimore, MD, United States of America",,,,,Baltimore,,Maryland,MD,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kenosha,42.5846773,-87.8212263,"Kenosha, WI, United States of America",,,,,Kenosha,Kenosha County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Olathe,38.8838856,-94.81887,"Olathe, KS, United States of America",,,,,Olathe,Johnson County,Kansas,KS,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tulsa,36.13334,-95.9224992,"Tulsa, OK, United States of America",,,,,Tulsa,Tulsa County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Redmond,47.6694141,-122.1238767,"Redmond, WA, United States of America",,,,,Redmond,King County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Raleigh,35.7803977,-78.6390989,"Raleigh, NC, United States of America",,,,,Raleigh,Wake County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muskogee,35.7478769,-95.3696909,"Muskogee, OK, United States of America",,,,,Muskogee,Muskogee County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meriden,41.5378215,-72.80033880043175,"Meriden, CT, United States of America",,,,,Meriden,New Haven County,Connecticut,CT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bowling Green,36.9903199,-86.4436018,"Bowling Green, KY, United States of America",,,,,Bowling Green,Warren County,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
South Bend,41.6833813,-86.2500066,"South Bend, IN, United States of America",,,,,South Bend,Saint Joseph County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Spokane,47.6571934,-117.42351,"Spokane, WA, United States of America",,,,,Spokane,Spokane County,Washington,WA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Keller,32.9299655,-97.2271249,"Keller, TX 76248, United States of America",,,,76248,Keller,Tarrant County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Port Orange,29.101628050000002,-81.01059617608054,"Port Orange, FL, United States of America",,Port Orange,,,,Port Orange,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Medford,42.4184296,-71.1061639,"Medford, MA, United States of America",,,,,Medford,Middlesex County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Charlottesville,38.029306,-78.4766781,"Charlottesville, VA, United States of America",,,,,Charlottesville,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Missoula,46.8701049,-113.995267,"Missoula, MT, United States of America",,,,,Missoula,Missoula County,Montana,MT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Apopka,28.6779683,-81.5115214,"Apopka, FL, United States of America",,Apopka,,,,Orange County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Reading,40.335345,-75.9279495,"Reading, PA, United States of America",,,Reading,,Reading,Berks County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Broomfield,39.9403995,-105.05208,"Broomfield, CO, United States of America",,,,,Broomfield,,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paterson,40.9167654,-74.171811,"Paterson, NJ, United States of America",,,,,Paterson,Passaic County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oklahoma City,35.4729886,-97.5170536,"Oklahoma City, OK, United States of America",,,,,Oklahoma City,Oklahoma County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chesapeake,36.7183708,-76.2466798,"Chesapeake, VA, United States of America",,,,,Chesapeake,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lubbock,33.5635206,-101.879336,"Lubbock, TX, United States of America",,,,,Lubbock,Lubbock County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
